virus,virusLabel,rankLabel,parent,parentLabel
http://www.wikidata.org/entity/Q176610,Torovirus,Gattung,http://www.wikidata.org/entity/Q1134583,Coronaviridae
http://www.wikidata.org/entity/Q176610,Torovirus,Gattung,http://www.wikidata.org/entity/Q16880647,Torovirinae
http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus,Art,http://www.wikidata.org/entity/Q57754693,Sarbecovirus
http://www.wikidata.org/entity/Q290805,Coronavirus,Gattung,http://www.wikidata.org/entity/Q1134583,Coronaviridae
http://www.wikidata.org/entity/Q454829,Feline coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q2117529,Puffinosis coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q2132904,Rat coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q3560916,Avian infectious bronchitis virus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q4902157,MERS-CoV,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q4902157,MERS-CoV,Art,http://www.wikidata.org/entity/Q57754679,Merbecovirus
http://www.wikidata.org/entity/Q4950554,Bovine coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q5032409,Canines coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q6926073,Murine hepatitis virus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q7834605,Transmissible gastroenteritis virus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q7855142,Turkey coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q8351095,Human coronavirus NL63,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q8351095,Human coronavirus NL63,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q8351095,Human coronavirus NL63,Art,http://www.wikidata.org/entity/Q57754656,Setracovirus
http://www.wikidata.org/entity/Q15233924,Coronavirinae,Unterfamilie,http://www.wikidata.org/entity/Q1134583,Coronaviridae
http://www.wikidata.org/entity/Q16023751,Porcine epidemic diarrhea virus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q16023751,Porcine epidemic diarrhea virus,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q16023751,Porcine epidemic diarrhea virus,Art,http://www.wikidata.org/entity/Q57754639,Pedacovirus
http://www.wikidata.org/entity/Q16532287,Betacoronavirus,Gattung,http://www.wikidata.org/entity/Q57751738,Orthocoronavirinae
http://www.wikidata.org/entity/Q16836881,Bafinivirus,Gattung,http://www.wikidata.org/entity/Q16880647,Torovirinae
http://www.wikidata.org/entity/Q16836881,Bafinivirus,Gattung,http://www.wikidata.org/entity/Q57773911,Piscanivirinae
http://www.wikidata.org/entity/Q16848886,Bulbul coronavirus HKU11,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q16848886,Bulbul coronavirus HKU11,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q16880647,Torovirinae,Unterfamilie,http://www.wikidata.org/entity/Q1134583,Coronaviridae
http://www.wikidata.org/entity/Q16880647,Torovirinae,Unterfamilie,http://www.wikidata.org/entity/Q57751125,Tobaniviridae
http://www.wikidata.org/entity/Q16908525,Alphacoronavirus,Gattung,http://www.wikidata.org/entity/Q57751738,Orthocoronavirinae
http://www.wikidata.org/entity/Q16955738,Deltacoronavirus,Gattung,http://www.wikidata.org/entity/Q57751738,Orthocoronavirinae
http://www.wikidata.org/entity/Q16977225,Gammacoronavirus,Gattung,http://www.wikidata.org/entity/Q57751738,Orthocoronavirinae
http://www.wikidata.org/entity/Q16978701,White bream virus,Art,http://www.wikidata.org/entity/Q16836881,Bafinivirus
http://www.wikidata.org/entity/Q16978701,White bream virus,Art,http://www.wikidata.org/entity/Q57754800,Blicbavirus
http://www.wikidata.org/entity/Q16983356,Human coronavirus 229E,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q16983356,Human coronavirus 229E,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q16983356,Human coronavirus 229E,Art,http://www.wikidata.org/entity/Q57754596,Duvinacovirus
http://www.wikidata.org/entity/Q16983360,Human coronavirus HKU1,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q16983360,Human coronavirus HKU1,Art,http://www.wikidata.org/entity/Q57754667,Embecovirus
http://www.wikidata.org/entity/Q16985780,Miniopterus bat coronavirus 1,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q16985780,Miniopterus bat coronavirus 1,Art,http://www.wikidata.org/entity/Q57754617,Minunacovirus
http://www.wikidata.org/entity/Q16985784,Miniopterus bat coronavirus HKU8,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q16985784,Miniopterus bat coronavirus HKU8,Art,http://www.wikidata.org/entity/Q57754617,Minunacovirus
http://www.wikidata.org/entity/Q16988144,Pipistrellus bat coronavirus HKU5,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q16988144,Pipistrellus bat coronavirus HKU5,Art,http://www.wikidata.org/entity/Q57754679,Merbecovirus
http://www.wikidata.org/entity/Q16989092,Rhinolophus bat coronavirus HKU2,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q16989092,Rhinolophus bat coronavirus HKU2,Art,http://www.wikidata.org/entity/Q57754648,Rhinacovirus
http://www.wikidata.org/entity/Q16991954,Human coronavirus OC43,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q16992344,Rousettus bat coronavirus HKU9,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q16992344,Rousettus bat coronavirus HKU9,Art,http://www.wikidata.org/entity/Q57754685,Nobecovirus
http://www.wikidata.org/entity/Q16992475,Scotophilus bat coronavirus 512,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q16992475,Scotophilus bat coronavirus 512,Art,http://www.wikidata.org/entity/Q57754639,Pedacovirus
http://www.wikidata.org/entity/Q16993274,Tylonycteris bat coronavirus HKU4,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q16993274,Tylonycteris bat coronavirus HKU4,Art,http://www.wikidata.org/entity/Q57754679,Merbecovirus
http://www.wikidata.org/entity/Q18907882,Murine coronavirus,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q18907882,Murine coronavirus,Art,http://www.wikidata.org/entity/Q57754667,Embecovirus
http://www.wikidata.org/entity/Q18965331,Alphacoronavirus 1,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q18965331,Alphacoronavirus 1,Art,http://www.wikidata.org/entity/Q57754662,Tegacovirus
http://www.wikidata.org/entity/Q18965332,Betacoronavirus 1,Art,http://www.wikidata.org/entity/Q16532287,Betacoronavirus
http://www.wikidata.org/entity/Q18965332,Betacoronavirus 1,Art,http://www.wikidata.org/entity/Q57754667,Embecovirus
http://www.wikidata.org/entity/Q18965337,Bovine torovirus,Art,http://www.wikidata.org/entity/Q176610,Torovirus
http://www.wikidata.org/entity/Q18965337,Bovine torovirus,Art,http://www.wikidata.org/entity/Q57754811,Renitovirus
http://www.wikidata.org/entity/Q18965338,Equine torovirus,Art,http://www.wikidata.org/entity/Q176610,Torovirus
http://www.wikidata.org/entity/Q18965338,Equine torovirus,Art,http://www.wikidata.org/entity/Q57754811,Renitovirus
http://www.wikidata.org/entity/Q18965341,Human torovirus,Art,http://www.wikidata.org/entity/Q176610,Torovirus
http://www.wikidata.org/entity/Q18965342,Porcine torovirus,Art,http://www.wikidata.org/entity/Q176610,Torovirus
http://www.wikidata.org/entity/Q18965342,Porcine torovirus,Art,http://www.wikidata.org/entity/Q57754811,Renitovirus
http://www.wikidata.org/entity/Q22103916,Pigeon coronavirus,Art,http://www.wikidata.org/entity/Q290805,Coronavirus
http://www.wikidata.org/entity/Q24808936,Bat coronavirus CDPHE15,Art,http://www.wikidata.org/entity/Q16908525,Alphacoronavirus
http://www.wikidata.org/entity/Q24808936,Bat coronavirus CDPHE15,Art,http://www.wikidata.org/entity/Q57754582,Colacovirus
