virus,virusLabel,disease,diseaseLabel
http://www.wikidata.org/entity/Q332874,Tabakmosaikvirus,http://www.wikidata.org/entity/Q11786276,tobacco mosaic
http://www.wikidata.org/entity/Q332874,Tabakmosaikvirus,http://www.wikidata.org/entity/Q89582400,tomato streak
http://www.wikidata.org/entity/Q3560943,Q3560943,,
http://www.wikidata.org/entity/Q18967977,Tomato chlorosis virus,,
http://www.wikidata.org/entity/Q22105487,H11N2,,
http://www.wikidata.org/entity/Q22105506,Influenza A virus H11N9,,
http://www.wikidata.org/entity/Q22105547,Influenza A virus H18N11,,
http://www.wikidata.org/entity/Q22105570,Influenza A virus H1N8,,
http://www.wikidata.org/entity/Q22105591,Influenza A virus H3N3,,
http://www.wikidata.org/entity/Q22105611,Influenza A virus H4N1,,
http://www.wikidata.org/entity/Q22105650,Influenza A virus H5N6,,
http://www.wikidata.org/entity/Q24808810,Mojiang henipavirus,,
http://www.wikidata.org/entity/Q65091371,Linepithema humile virus 1,,
http://www.wikidata.org/entity/Q70641863,Vespertilionid gammaherpesvirus 1,,
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q18975243,coronavirus disease
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q81068910,COVID-19-Pandemie
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q83873577,COVID-19-Pandemie in den Vereinigten Staaten
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q84263196,COVID-19
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q86886544,COVID-19-Pandemie in Norwegen
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87070975,COVID-19-Pandemie in Israel
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87406428,COVID-19-Pandemie auf dem amerikanischen Kontinent
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87452683,COVID-19 pandemic in Basque Country
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87587763,COVID-19-Pandemie in Peru
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87652010,COVID-19-Pandemie in Venezuela
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87742107,COVID-19 pandemic in Georgia
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87743878,2020 COVID-19 pandemic in North Carolina
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q87746028,2020 COVID-19 pandemic in Arizona
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q88208091,COVID-19 pandemic in Galicia
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q93629491,MIS-C
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q94278105,"2020 COVID-19 pandemic in Baltimore County, Maryland"
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q94278114,"2020 COVID-19 pandemic in Caroline County, Maryland"
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q94278721,"2020 COVID-19 pandemic in Howard County, Maryland"
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,http://www.wikidata.org/entity/Q110391577,Flurona
http://www.wikidata.org/entity/Q104376647,SARS-CoV-2-Variante Alpha,,
http://www.wikidata.org/entity/Q105759613,16BO133,,
http://www.wikidata.org/entity/Q114282744,Q114282744,,
http://www.wikidata.org/entity/Q114297923,Q114297923,,
http://www.wikidata.org/entity/Q114865257,Trojan Horse,,
http://www.wikidata.org/entity/Q116551921,Human circovirus 1,,
